Province,1/4/21,2/4/21,3/4/21,4/4/21,5/4/21,6/4/21,7/4/21,8/4/21,9/4/21,10/4/21,11/4/21,12/4/21,13/4/21,14/4/21,15/4/21,16/4/21,17/4/21,18/4/21,19/4/21,20/4/21,21/4/21,22/4/21,23/4/21,24/4/21,25/4/21,26/4/21,27/4/21,28/4/21,29/4/21,30/4/21,1/5/21,2/5/21,3/5/21,4/5/21,5/5/21,6/5/21,7/5/21,8/5/21,9/5/21,10/5/21,11/5/21,12/5/21,13/5/21,14/5/21,15/5/21,16/5/21,17/5/21,18/5/21,19/5/21,20/5/21,21/5/21,22/5/21,23/5/21,24/5/21,25/5/21,26/5/21,27/5/21,28/5/21,29/5/21,30/5/21,31/5/21,1/6/21,Total
สุพรรณบุรี,0.0,0.0,9.0,5.0,7.0,0.0,8.0,2.0,0.0,4.0,6.0,15.0,8.0,11.0,21.0,0.0,16.0,0.0,15.0,13.0,5.0,0.0,12.0,1.0,5.0,9.0,5.0,14.0,13.0,9.0,16.0,26.0,5.0,14.0,9.0,18.0,12.0,9.0,5.0,6.0,2.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,7.0,2.0,3.0,1.0,2.0,2.0,2.0,9.0,4.0,6.0,2.0,1.0,1.0,5.0,410.0
ศรีสะเกษ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,19.0,13.0,6.0,2.0,6.0,17.0,15.0,13.0,8.0,10.0,3.0,8.0,12.0,9.0,15.0,13.0,4.0,4.0,0.0,6.0,4.0,16.0,11.0,13.0,1.0,0.0,5.0,3.0,5.0,2.0,20.0,3.0,3.0,17.0,18.0,5.0,15.0,3.0,20.0,2.0,6.0,12.0,6.0,10.0,3.0,6.0,2.0,400.0
ปราจีนบุรี,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,6.0,4.0,9.0,5.0,1.0,5.0,5.0,7.0,5.0,17.0,4.0,14.0,22.0,13.0,16.0,9.0,4.0,6.0,14.0,23.0,1.0,2.0,2.0,3.0,5.0,13.0,63.0,5.0,1.0,4.0,1.0,6.0,10.0,5.0,6.0,3.0,1.0,2.0,6.0,14.0,6.0,4.0,1.0,14.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,382.0
มหาสารคาม,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,7.0,4.0,0.0,6.0,2.0,3.0,19.0,12.0,8.0,12.0,29.0,12.0,13.0,18.0,11.0,19.0,7.0,15.0,7.0,8.0,3.0,5.0,9.0,4.0,6.0,5.0,5.0,1.0,6.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,7.0,9.0,17.0,10.0,11.0,2.0,2.0,3.0,0.0,12.0,0.0,1.0,0.0,348.0
อุบลราชธานี,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,6.0,7.0,17.0,30.0,7.0,12.0,7.0,12.0,17.0,7.0,12.0,9.0,15.0,10.0,2.0,6.0,11.0,2.0,7.0,8.0,11.0,11.0,7.0,6.0,8.0,4.0,22.0,13.0,2.0,6.0,4.0,1.0,7.0,7.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,348.0
ปัตตานี,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,2.0,27.0,4.0,6.0,7.0,9.0,12.0,1.0,12.0,6.0,22.0,32.0,13.0,12.0,9.0,11.0,3.0,7.0,28.0,11.0,11.0,3.0,2.0,1.0,9.0,5.0,3.0,4.0,1.0,0.0,5.0,10.0,7.0,4.0,7.0,1.0,5.0,6.0,4.0,339.0
ยะลา,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,10.0,0.0,6.0,2.0,4.0,4.0,2.0,10.0,4.0,16.0,12.0,3.0,18.0,6.0,3.0,6.0,2.0,2.0,7.0,17.0,2.0,6.0,8.0,8.0,1.0,3.0,8.0,1.0,4.0,43.0,20.0,18.0,15.0,8.0,3.0,4.0,2.0,17.0,15.0,4.0,337.0
พิษณุโลก,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,6.0,0.0,3.0,34.0,8.0,25.0,45.0,26.0,17.0,10.0,10.0,9.0,12.0,9.0,12.0,4.0,16.0,6.0,14.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,331.0
กาญจนบุรี,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,0.0,16.0,5.0,4.0,5.0,2.0,1.0,3.0,3.0,6.0,3.0,12.0,2.0,3.0,6.0,6.0,15.0,11.0,14.0,15.0,10.0,6.0,5.0,14.0,16.0,4.0,9.0,23.0,6.0,8.0,1.0,4.0,7.0,3.0,5.0,7.0,1.0,11.0,4.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,320.0
กระบี่,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,5.0,0.0,4.0,6.0,2.0,3.0,5.0,4.0,0.0,3.0,7.0,1.0,5.0,7.0,11.0,14.0,38.0,28.0,7.0,20.0,15.0,13.0,8.0,7.0,1.0,8.0,4.0,5.0,6.0,7.0,5.0,1.0,2.0,0.0,5.0,2.0,0.0,3.0,2.0,1.0,6.0,4.0,3.0,2.0,0.0,303.0
ชัยภูมิ,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,7.0,4.0,4.0,1.0,2.0,12.0,4.0,4.0,8.0,10.0,27.0,12.0,3.0,4.0,12.0,11.0,1.0,2.0,2.0,0.0,1.0,3.0,8.0,31.0,23.0,10.0,10.0,5.0,9.0,6.0,0.0,4.0,4.0,1.0,8.0,6.0,4.0,2.0,13.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,303.0
ลำพูน,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,8.0,30.0,18.0,45.0,25.0,0.0,39.0,19.0,7.0,24.0,7.0,7.0,10.0,3.0,3.0,6.0,9.0,3.0,1.0,0.0,2.0,7.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,298.0
